id,"food","amount",cuisine_id,"created_at","updated_at"
0,"砂糖","適宣",1045,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1,"キャベツ","８枚",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
2,"玉ねぎ","1/4個",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
3,"豚肉","100g",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
4,"卵","1/4個",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
5,"片栗粉","大さじ１",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
6,"・酒、塩、しょうゆ","適宣",1,"2017-10-24 09:36:39","2017-10-24 09:36:39"
7,"卵","１個",2,"2017-10-24 09:36:39","2017-10-24 09:36:39"
8,"もめん豆腐","１丁",2,"2017-10-24 09:36:39","2017-10-24 09:36:39"
9,"・塩、ごま油、酒、こしょう","適宣",2,"2017-10-24 09:36:39","2017-10-24 09:36:39"
10,"ゴーヤー","１本",2,"2017-10-24 09:36:39","2017-10-24 09:36:39"
11,"・ごま油、砂糖、しょうゆ、酒","適宣",3,"2017-10-24 09:36:39","2017-10-24 09:36:39"
12,"ごぼう","150g",3,"2017-10-24 09:36:39","2017-10-24 09:36:39"
13,"にんじん","70g",3,"2017-10-24 09:36:39","2017-10-24 09:36:39"
14,"牛肉","150g",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
15,"とりむね肉","150g",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
16,"にんじん","１本",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
17,"かぶ","２個",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
18,"にんにく","１片",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
19,"・塩、こしょう","適宣",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
20,"セロリ","１本",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
21,"玉ねぎ","小２個",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
22,"エリンギ","２本",4,"0000-00-00 00:00:00","0000-00-00 00:00:00"
23,"玉ねぎ","1/4個",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
24,"ご飯","茶碗１杯分",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
25,"・小麦粉、サラダ油、塩、こしょう、酒、しょうゆ、みりん、練りがらし","適宣",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
26,"豚肉","100g",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
27,"牛肉","100g",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
28,"ピーマン"," ６個",5,"0000-00-00 00:00:00","0000-00-00 00:00:00"
29,"サラダ油","小さじ２",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
30,"なす","４個",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
31,"豚肉","150g",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
32,"にんにく","１片分",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33,"ねぎ","５cm",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
34,"酢","小さじ１",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
35,"・サラダ油、ごま油","適宣",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
36,"・片栗粉","小さじ１",6,"0000-00-00 00:00:00","0000-00-00 00:00:00"
37,"ほうれん草","300g",7,"0000-00-00 00:00:00","0000-00-00 00:00:00"
38,"・塩、しょうゆ","適宣",7,"0000-00-00 00:00:00","0000-00-00 00:00:00"
39,"白菜","100g",8,"0000-00-00 00:00:00","0000-00-00 00:00:00"
40,"・サラダ油、ごま油","適宣",9,"2017-10-24 09:36:39","2017-10-24 09:36:39"
41,"なす","５個",9,"2017-10-24 09:36:39","2017-10-24 09:36:39"
42,"豚肉","100g",9,"2017-10-24 09:36:39","2017-10-24 09:36:39"
43,"じゃがいも","250g",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
44,"きゅうり","１本",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
45,"玉ねぎ","1/4個",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
46,"ハム","２枚",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
47,"・塩、こしょう、酢","適宣",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
48,"にんじん","1/2本",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
49,"ハム","１枚",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
50,"にんじん","1/2本",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
51,"玉ねぎ","1/4個",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
52,"きゅうり","1/2本",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
53,"マカロニ","100g",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
54,"・マヨネーズ、塩、こしょう","適宣",11,"0000-00-00 00:00:00","0000-00-00 00:00:00"
55,"里いも","３個",12,"0000-00-00 00:00:00","0000-00-00 00:00:00"
56,"玉ねぎ","1/3個",13,"0000-00-00 00:00:00","0000-00-00 00:00:00"
57,"レタス","２枚",14,"0000-00-00 00:00:00","0000-00-00 00:00:00"
58,"にんじん","1/2本",14,"0000-00-00 00:00:00","0000-00-00 00:00:00"
59,"豚肉","180g",14,"0000-00-00 00:00:00","0000-00-00 00:00:00"
60,"レタス","1/4個",15,"0000-00-00 00:00:00","0000-00-00 00:00:00"
61,"サラダ油","大さじ２",15,"0000-00-00 00:00:00","0000-00-00 00:00:00"
62,"いんげん","50g",15,"0000-00-00 00:00:00","0000-00-00 00:00:00"
63,"・塩、こしょう","適宣",15,"0000-00-00 00:00:00","0000-00-00 00:00:00"
64,"酢","大さじ1/2",15,"0000-00-00 00:00:00","0000-00-00 00:00:00"
67,"にんじん","１本",16,"0000-00-00 00:00:00","0000-00-00 00:00:00"
68,"レモン汁","大さじ２",16,"0000-00-00 00:00:00","0000-00-00 00:00:00"
69,"サラダ油","大さじ２",16,"0000-00-00 00:00:00","0000-00-00 00:00:00"
70,"・こしょう、塩","適宣",16,"0000-00-00 00:00:00","0000-00-00 00:00:00"
71,"キャベツ","150g",17,"0000-00-00 00:00:00","0000-00-00 00:00:00"
72,"白いりごま","大さじ1/2",17,"0000-00-00 00:00:00","0000-00-00 00:00:00"
